CE_IV,CE_LTP,strikePrice,PE_LTP,PE_IV
34.09,506.7,23800,7.25,24.4
30.71,457.35,23850,8.7,23.3
28.96,417.75,23900,10.45,22.23
27.64,362.4,23950,13.6,21.26
26.64,319.8,24000,17.15,20.32
25.12,280.65,24050,21.6,19.41
23.57,231.0,24100,28.95,18.48
22.31,191.4,24150,38.4,17.73
20.94,152.1,24200,49.85,16.9
20.15,118.65,24250,66.3,16.26
19.41,89.25,24300,87.0,15.34
18.72,66.2,24350,112.05,14.53
18.18,44.85,24400,142.3,13.75
17.93,30.5,24450,177.65,12.66
17.83,20.25,24500,218.35,9.47
17.61,12.9,24550,260.1,0.0
17.69,8.15,24600,306.7,0.0
17.68,5.05,24650,355.25,0.0
17.78,3.05,24700,404.2,0.0
18.43,2.25,24750,442.95,0.0
19.18,1.7,24800,500.0,0.0
