CE_IV,CE_LTP,strikePrice,PE_LTP,PE_IV
0.0,530.15,23850,28.3,16.37
9.93,483.9,23900,33.55,16.12
10.72,440.15,23950,39.65,15.89
11.37,400.75,24000,47.3,15.68
11.32,358.65,24050,56.05,15.46
11.9,320.15,24100,65.8,15.22
11.94,282.0,24150,78.35,15.08
12.09,246.35,24200,92.1,14.9
12.12,212.65,24250,108.75,14.79
12.03,181.6,24300,127.25,14.66
11.97,152.75,24350,148.65,14.55
11.94,126.6,24400,172.85,14.54
11.86,103.4,24450,199.65,14.46
11.73,82.85,24500,228.95,14.46
11.62,65.05,24550,261.1,14.45
11.55,50.35,24600,296.65,14.54
11.53,38.75,24650,334.7,14.82
11.48,29.15,24700,375.1,15.08
11.51,21.95,24750,421.15,15.68
11.56,16.35,24800,461.45,15.92
11.65,12.4,24850,507.7,16.53
